"2010 Voting Precincts
Population Totals",,,
"Roanoke City","770033","South Roanoke No. 1",1802
"Roanoke City","770034","South Roanoke No. 2",2676
"Roanoke City","770035","Lee-Hi",3468
"Roanoke City","770037","Garden City",3758
"Salem","775001","North Salem No. 2",3500
"Salem","775002","Conehurst",2054
"Salem","775003","Beverly Heights",1390
"Salem","775004","West Salem",1987
"Salem","775005","North Salem No. 1",3131
"Salem","775006","South Salem No. 1",2007
"Salem","775007","South Salem No. 2",2413
"Salem","775008","East Salem",1633
"Salem","775009","South Side Hills",3187
"Salem","775010","Hidden Valley",3500
"Staunton","790101","Ward No. 1",5806
"Staunton","790201","Ward No. 2",7047
"Staunton","790301","Ward No. 3",4213
"Staunton","790401","Ward No. 4",3398
"Staunton","790501","Ward No. 5",3282
"Suffolk","800102","Driver",8339
"Suffolk","800103","Harbour View",4402
"Suffolk","800104","Bennetts Creek",3812
"Suffolk","800201","Ebenezer",2239
"Suffolk","800202","Chuckatuck",2475
"Suffolk","800203","King's Fork",8502
"Suffolk","800301","White Marsh",4225
"Suffolk","800302","John F. Kennedy",4895
"Suffolk","800303","Cypress Chapel",757
"Suffolk","800401","Airport",1668
"Suffolk","800402","Whaleyville",2726
"Suffolk","800403","Southside",4829
"Suffolk","800501","Kilby's Mill",4423
"Suffolk","800502","Holland",2399
"Suffolk","800503","Holy Neck",1987
"Suffolk","800504","Lake Cohoon",1674
"Suffolk","800601","Lakeside",4376
"Suffolk","800602","Olde Towne",1360
"Suffolk","800603","Elephants Fork/Westhaven",3324
"Suffolk","800701","Hollywood",1813
"Suffolk","800703","Nansemond River",5323
"Suffolk","800705","Yeates",9037
"Virginia Beach","810001","North Beach",4391
"Virginia Beach","810002","South Beach",5516
"Virginia Beach","810003","Ocean Lakes",6974
"Virginia Beach","810004","Linkhorn",4914
"Virginia Beach","810005","Seatack",5987
"Virginia Beach","810006","Alanton",4300
"Virginia Beach","810007","Kingston",2506
"Virginia Beach","810008","London Bridge",5566
"Virginia Beach","810009","Trantwood",3576
"Virginia Beach","810010","Great Neck",4311
"Virginia Beach","810011","Cape Henry",4913
"Virginia Beach","810012","Plaza",5585
"Virginia Beach","810013","Mt.Trashmore",6066
"Virginia Beach","810014","Malibu",4747
"Virginia Beach","810015","Old Donation",5616
"Virginia Beach","810016","Aragona",7280
"Virginia Beach","810017","Ocean Park",3036
"Virginia Beach","810018","Thoroughgood",4626
"Virginia Beach","810019","Lake Smith",2297
"Virginia Beach","810020","Bayside",2361
"Virginia Beach","810021","Davis Corner",6128
"Virginia Beach","810022","Point O' View",3344
"Virginia Beach","810023","Arrowhead",4716
"Virginia Beach","810024","Larkspur",3232
"Virginia Beach","810025","Avalon",4587
"Virginia Beach","810026","Fairfield",3299
"Virginia Beach","810027","Providence",3920
"Virginia Beach","810028","Thalia",2885
"Virginia Beach","810029","Holland",7820
"Virginia Beach","810030","Redwing",7580
"Virginia Beach","810031","Sigma",4946
"Virginia Beach","810032","Creeds",1765
"Virginia Beach","810033","Capps Shop",2014
"Virginia Beach","810034","Blackwater",1219
"Virginia Beach","810035","Courthouse",3833
"Virginia Beach","810036","Windsor Oaks",6507
"Virginia Beach","810037","Chesapeake Beach",8310
"Virginia Beach","810038","Witchduck",4577
"Virginia Beach","810039","Pembroke",6005
"Virginia Beach","810040","Bonney",3442
"Virginia Beach","810041","College Park",3515
"Virginia Beach","810042","Brandon",4823
"Virginia Beach","810043","Bellamy",5233
"Virginia Beach","810044","Centerville",4777
"Virginia Beach","810045","Timberlake",6534
"Virginia Beach","810046","Green Run",7782
"Virginia Beach","810047","Kings Grant",4435
"Virginia Beach","810048","Wolfsnare",4951
"Virginia Beach","810049","Lynnhaven",3791
"Virginia Beach","810050","Oceana",4204
"Virginia Beach","810051","Stratford Chase",3979
"Virginia Beach","810052","Homestead",5727
"Virginia Beach","810053","Shannon",3328
"Virginia Beach","810054","Cromwell",3221
"Virginia Beach","810055","Magic Hollow",7309
"Virginia Beach","810056","Edinburgh",1998
"Virginia Beach","810057","Sherry Park",2499
"Virginia Beach","810058","Glenwood",4335
"Virginia Beach","810059","Shelton Park",3994
"Virginia Beach","810060","Foxfire",3869
"Virginia Beach","810061","Baker",6559
"Virginia Beach","810062","Landstown",4972
"Virginia Beach","810063","Culver",6948
"Virginia Beach","810064","Rosemont Forest",5723
"Virginia Beach","810065","Colonial",4354
"Virginia Beach","810066","Hunt",3725
"Virginia Beach","810067","Eastern Shore",7856
"Virginia Beach","810068","Manor",3714
"Virginia Beach","810069","Shell",4516
"Virginia Beach","810070","Corporate Landing",6611
"Virginia Beach","810071","Round Hill",7208
"Virginia Beach","810072","Rudee",3956
"Virginia Beach","810073","Dahlia",7710
"Virginia Beach","810074","Buckner",4745
"Virginia Beach","810075","Colony",4240
"Virginia Beach","810076","Village",5620
"Virginia Beach","810077","Brookwood",4811
"Virginia Beach","810078","Indian Lakes",3963
"Virginia Beach","810079","Pleasant Hill",4374
"Virginia Beach","810080","Reon",3722
"Virginia Beach","810081","Rock Lake",5668
"Virginia Beach","810082","Shelbourne",3656
"Virginia Beach","810083","Strawbridge",5131
"Virginia Beach","810084","Tallwood",5459
"Virginia Beach","810085","Upton",5096
"Virginia Beach","810086","Hagood",3952
"Virginia Beach","810087","Hillcrest",3447
"Virginia Beach","810088","North Landing",4890
"Virginia Beach","810089","Lake Christopher",3873
"Virginia Beach","810090","Lake Joyce",2752
"Virginia Beach","810091","Lexington",5257
"Virginia Beach","810092","Little Neck",2656
"Virginia Beach","810093","Newtown",3341
"Virginia Beach","810094","Pinewood",2488
"Waynesboro","820001","Ward A",5379
"Waynesboro","820002","Ward B",4619
"Waynesboro","820003","Ward C",5222
"Waynesboro","820004","Ward D",5786
"Williamsburg","830001","Stryker",9683
"Williamsburg","830002","Berkeley",4385
"Winchester","840101","Merrimans",3686
"Winchester","840102","Old Town",2623
"Winchester","840201","Virginia Avenue",5745
"Winchester","840301","War Memorial",6138
"Winchester","840401","Frederick Douglass",8011
