Location,TimeFrame,DataFormat,Data
Hopewell,2006,Number,22744
Hopewell,2007,Number,23081
Hopewell,2008,Number,23206
Hopewell,2009,Number,23123
Hopewell,2010,Number,22591
Isle of Wight,2000,Number,29728
Isle of Wight,2001,Number,30203
Isle of Wight,2002,Number,30644
Isle of Wight,2003,Number,31436
Isle of Wight,2004,Number,32165
Isle of Wight,2005,Number,32892
Isle of Wight,2006,Number,34114
Isle of Wight,2007,Number,35090
Isle of Wight,2008,Number,35553
Isle of Wight,2009,Number,35877
Isle of Wight,2010,Number,35270
James City,2000,Number,48102
James City,2001,Number,49575
James City,2002,Number,51326
James City,2003,Number,53138
James City,2004,Number,55282
James City,2005,Number,57240
James City,2006,Number,59656
James City,2007,Number,61277
James City,2008,Number,62410
James City,2009,Number,63735
James City,2010,Number,67009
King and Queen,2000,Number,6630
King and Queen,2001,Number,6593
King and Queen,2002,Number,6560
King and Queen,2003,Number,6517
King and Queen,2004,Number,6685
King and Queen,2005,Number,6724
King and Queen,2006,Number,6833
King and Queen,2007,Number,6858
King and Queen,2008,Number,6820
King and Queen,2009,Number,6796
King and Queen,2010,Number,6945
King George,2000,Number,16803
King George,2001,Number,17133
King George,2002,Number,17749
King George,2003,Number,18434
King George,2004,Number,19200
King George,2005,Number,20560
King George,2006,Number,21595
King George,2007,Number,22551
King George,2008,Number,23165
King George,2009,Number,23557
King George,2010,Number,23584
King William,2000,Number,13146
King William,2001,Number,13436
King William,2002,Number,13669
King William,2003,Number,13930
King William,2004,Number,14141
King William,2005,Number,14487
King William,2006,Number,15133
King William,2007,Number,15627
King William,2008,Number,15987
King William,2009,Number,16225
King William,2010,Number,15935
Lancaster,2000,Number,11567
Lancaster,2001,Number,11415
Lancaster,2002,Number,11426
Lancaster,2003,Number,11500
Lancaster,2004,Number,11464
Lancaster,2005,Number,11459
Lancaster,2006,Number,11480
Lancaster,2007,Number,11491
Lancaster,2008,Number,11382
Lancaster,2009,Number,11230
Lancaster,2010,Number,11391
Lee,2000,Number,23589
Lee,2001,Number,23266
Lee,2002,Number,24145
Lee,2003,Number,24793
Lee,2004,Number,24969
Lee,2005,Number,24871
Lee,2006,Number,24896
Lee,2007,Number,24981
Lee,2008,Number,25090
Lee,2009,Number,25166
Lee,2010,Number,25587
Lexington,2000,Number,6867
Lexington,2001,Number,6900
Lexington,2002,Number,6877
Lexington,2003,Number,6748
Lexington,2004,Number,6802
Lexington,2005,Number,6882
Lexington,2006,Number,6975
Lexington,2007,Number,6906
Lexington,2008,Number,6883
Lexington,2009,Number,6901
Lexington,2010,Number,7042
Loudoun,2000,Number,169599
Loudoun,2001,Number,189717
Loudoun,2002,Number,203122
Loudoun,2003,Number,219577
Loudoun,2004,Number,237162
Loudoun,2005,Number,253332
Loudoun,2006,Number,265240
Loudoun,2007,Number,277459
Loudoun,2008,Number,290121
Loudoun,2009,Number,301171
Loudoun,2010,Number,312311
Louisa,2000,Number,25627
Louisa,2001,Number,26287
Louisa,2002,Number,27009
Louisa,2003,Number,27850
Louisa,2004,Number,28582
Louisa,2005,Number,29844
Louisa,2006,Number,30978
Louisa,2007,Number,31785
Louisa,2008,Number,32621
Louisa,2009,Number,33078
Louisa,2010,Number,33153
Lunenburg,2000,Number,13146
Lunenburg,2001,Number,13025
Lunenburg,2002,Number,13081
Lunenburg,2003,Number,13018
Lunenburg,2004,Number,12896
Lunenburg,2005,Number,12958
Lunenburg,2006,Number,12986
Lunenburg,2007,Number,12935
Lunenburg,2008,Number,12860
Lunenburg,2009,Number,12799
Lunenburg,2010,Number,12914
Lynchburg,2000,Number,65269
Lynchburg,2001,Number,64827
Lynchburg,2002,Number,64992
Lynchburg,2003,Number,66070
Lynchburg,2004,Number,66503
Lynchburg,2005,Number,68028
Lynchburg,2006,Number,70012
Lynchburg,2007,Number,71864
Lynchburg,2008,Number,72947
Lynchburg,2009,Number,73933
Lynchburg,2010,Number,75568
Madison,2000,Number,12520
Madison,2001,Number,12699
Madison,2002,Number,12929
Madison,2003,Number,12984
Madison,2004,Number,13056
Madison,2005,Number,13291
Madison,2006,Number,13512
Madison,2007,Number,13698
Madison,2008,Number,13650
Madison,2009,Number,13702
Madison,2010,Number,13308
Manassas,2000,Number,35135
Manassas,2001,Number,35299
Manassas,2002,Number,35821
Manassas,2003,Number,36178
Manassas,2004,Number,36459
Manassas,2005,Number,36322
Manassas,2006,Number,35488
Manassas,2007,Number,34817
Manassas,2008,Number,34656
Manassas,2009,Number,36514
Manassas,2010,Number,37821
Manassas Park,2000,Number,10290
Manassas Park,2001,Number,10662
Manassas Park,2002,Number,10881
Manassas Park,2003,Number,10930
Manassas Park,2004,Number,11369
Manassas Park,2005,Number,11652
Manassas Park,2006,Number,11527
Manassas Park,2007,Number,11533
Manassas Park,2008,Number,11410
Manassas Park,2009,Number,12042
Manassas Park,2010,Number,14273
Martinsville,2000,Number,15416
Martinsville,2001,Number,15282
Martinsville,2002,Number,15052
Martinsville,2003,Number,15042
Martinsville,2004,Number,14757
Martinsville,2005,Number,14776
Martinsville,2006,Number,14709
Martinsville,2007,Number,14538
Martinsville,2008,Number,14641
Martinsville,2009,Number,14635
Martinsville,2010,Number,13821
Mathews,2000,Number,9207
Mathews,2001,Number,9264
Mathews,2002,Number,9183
Mathews,2003,Number,9127
Mathews,2004,Number,9047
Mathews,2005,Number,8982
Mathews,2006,Number,8999
Mathews,2007,Number,9039
Mathews,2008,Number,9050
Mathews,2009,Number,8984
Mathews,2010,Number,8978
Mecklenburg,2000,Number,32380
Mecklenburg,2001,Number,32286
Mecklenburg,2002,Number,32282
Mecklenburg,2003,Number,32181
Mecklenburg,2004,Number,32072
Mecklenburg,2005,Number,31960
Mecklenburg,2006,Number,31944
Mecklenburg,2007,Number,32034
Mecklenburg,2008,Number,32030
Mecklenburg,2009,Number,31969
Mecklenburg,2010,Number,32727
Middlesex,2000,Number,9932
Middlesex,2001,Number,10030
